scenario;ND;PD
(Reimer, 1991a, pp. 190–191);3;5
(Perry, 2017, p. 979);6;2
(Siegel, 2002, pp. 10–11);1;7
(McGinn, 1981, p. 162);2;6
(Gauker, 2008, p. 363);1;7
Dubliners;6;2
(Kaplan, 1978, p. 239);3;5
(Ullman et al., 2012, p. 457);6;2
(de Gaynesford, 2006, p. 169);5;3
Exile and the Kingdom;8;0
(Radulescu, 2019, p. 15);7;1
(Textor, 2007, p. 955);8;0
(McGinn, 1981, pp. 161–162);7;1
(Reimer, 1991b, p. 180);4;4
(King, 1999, p. 156);7;1
The Adventures of Sindbad;8;0
(Reimer, 1991b, p. 182);3;5
(Reimer, 1991a, p. 194);1;7
(Radulescu, 2019, p. 7);2;6
The Loser;8;0
(King, 2014, p. 224);2;6
Ulysses;8;0
(Ciecierski, Makowski, 2020);6;2
A Spy;8;0
A Pianist at the Party;7;1
(Perry, 2009, p. 193);4;4
